;;;;;;;;Where To Find (1);;;;Where To Find (2);;;;Where To Find (3);;;;Where To Find (4);;;
145;Clip;Minsky;5B;30/07/1970;;-;Carl, recorder, Walker;Recorder;Minsky;13C;30/07/70;Property Master;Minsky;17A;30/08/70;Lighter;Minsky;41A;02/08/70;Napkin;Minsky;2B;23/07/70
146;Secret1;Minsky;5B;30/07/1970;;-;;;;;;;;;;;;;;;;;
147;Secret2;Minsky;5B;30/07/1970;;-;Reverse of reverse;;;;;;;;;;;;;;;;
148;Secret3;Minsky;5B;30/07/1970;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
149;Clip;Minsky;13C;30/07/1970;;-;Carl, Debbie, recorder;Recorder;Minsky;5B;30/07/70;Shoes;2OE;81;25/03/99;Debbie;Minsky;22B;29/07/70;Detective Walker;Minsky;7;23/06/70
150;Clip;Minsky;-;31/07/1970;;xxx;Carl, Ruby, deviants, Walker, John Durick;Light;Minsky;17A;30/08/70;Susie;Minsky;22B;29/07/70;Natassia;Minsky;24A;25/08/70;Ruby;Minsky;3A;11/08/70
151;Clip;Minsky;41A;02/08/1970;;-;Carl, skyline;Lighter;Ambrosio;-;15/04/68;Fire;2OE;-;25/09/99;Letter;Minsky;21A;20/08/70;City;2OE;51A;20/07/99
152;Clip;Minsky;8A;04/08/1970;;-;Carl, Ruby, Pablos (priest from Ambrosio);Ruby;Minsky;-;31/07/70;Gabriel;Ambrosio;56C;01/10/68;Detective Walker;Minsky;7;23/06/70;Notepad;2OE;58B;06/08/99
153;Clip;Minsky;40B;05/08/1970;;-;Carl, Walker, snake;Boxes;Minsky;35;11/06/70;Costume Designer;Minsky;19B;17/08/70;Poster;Minsky;-;21/07/70;Letter;Minsky;41A;02/08/70
154;Clip;Minsky;38A;06/08/1970;;-;Carl, keys;Hat;2OE;12B;14/04/99;Napkin;Minsky;2B;23/07/70;Paper;2OE;26B;18/05/99;Keyhole;Minsky;10B;13/08/70
155;Clip;Minsky;39C;06/08/1970;;-;Carl, Olga, bloody hand, Walker;Natassia;Minsky;24A;25/08/70;Terry Schneider;2OE;43;18/03/99;Blood;Minsky;-;21/07/70;Snake;Ambrosio;8B;22/08/68
156;Clip;Minsky;1A;09/08/1970;;xxx;Douglas, mask, straw, John Durick;Feet;Minsky;3A;11/08/70;Straw;Minsky;1;24/06/70;Douglas Simons;Minsky;-;29/05/70;Photo;Minsky;4A;26/07/70
157;Clip;Minsky;33B;10/08/1970;;-;John Durick;Clothes;Minsky;29;24/06/70;Frame;Minsky;-;29/05/70;Pillow;2OE;73A;16/09/99;Bird;Minsky;-;31/07/70
158;Secret;Minsky;33B;10/08/1970;;-;What happened to John Durick;;;;;;;;;;;;;;;;
159;Clip;Minsky;3A;11/08/1970;;-;Carl, Ruby, John Durick, blood;Easel;Minsky;19B;17/08/70;Drawer;Minsky;21A;20/08/70;Feet;Minsky;1A;09/08/70;Cloth;Minsky;-;29/05/70
160;Secret;Minsky;3A;11/08/1970;;-;;;;;;;;;;;;;;;;;
161;Clip;Minsky;3D;11/08/1970;;-;Short clip of bottle with apple;Bowl;2OE;55A;29/07/99;Painting;Minsky;11B;16/08/70;Pot;2OE;14C;23/04/99;Candle;Minsky;19B;17/08/70
162;Clip;Minsky;10A;13/08/1970;;-;Carl, keys;Keyhole;Minsky;10B;13/08/70;Key;Minsky;10B;13/08/70;2nd AC;Minsky;10B;13/08/70;Candle;Ambrosio;6B;15/08/68
163;Secret;Minsky;10A;13/08/1970;;-;;;;;;;;;;;;;;;;;
164;Clip;Minsky;10B;13/08/1970;;-;Short clip of keys;Key;Ambrosio;21A;14/08/68;2nd AC;Minsky;10A;13/08/70;Hands;Minsky;20B;19/08/70;Gloves;Minsky;3A;11/08/70
165;Clip;Minsky;-;13/08/1970;;xxx;Carl and John Durick kiss, ashtray;Shaker;Minsky;2B;23/07/70;Ashtray;Minsky;23C;25/08/70;Coffee;Minsky;2B;23/07/70;Cup;Minsky;-;23/06/70
166;Clip;Minsky;11B;16/08/1970;;xxx;Carl, mask, naked Marissa;Paint;Minsky;-;29/05/70;Signature;2OE;14C;23/04/99;Breast;Ambrosio;24D;17/10/68;Frame;Minsky;-;29/05/70
167;Clip;Minsky;19B;17/08/1970;;-;Carl's ass;Stand;Minsky;19B;17/08/70;Stair;Minsky;19B;17/08/70;Easel;Minsky;3A;11/08/70;Costume Designer;Minsky;-;23/06/70
168;Secret;Minsky;19B;17/08/1970;;-;;;;;;;;;;;;;;;;;
169;Clip;Minsky;20B;19/08/1970;;-;Carl, mask, straw;Straw;Minsky;1;24/06/70;Cloth;Minsky;1;24/06/70;Mask;Minsky;11B;16/08/70;Knife;Minsky;20D;19/08/70
170;Secret;Minsky;20B;19/08/1970;;-;;;;;;;;;;;;;;;;;
171;Clip;Minsky;20D;19/08/1970;;-;Short clip of knife and rope;Rope;Minsky;20F;19/08/70;Jewelry;Minsky;5B;30/07/70;Knife;Minsky;20B;19/08/70;Razor;Minsky;-;21/07/70
172;Clip;Minsky;20E;19/08/1970;;-;Mask, eye;Eye;Ambrosio;36A;16/09/68;Mask;Minsky;11B;16/08/70;Clapperboard;Minsky;20B;19/08/70;-;-;-;-
173;Clip;Minsky;20F;19/08/1970;;-;Short clip of mask and rope;Rope;Minsky;20D;19/08/70;Feet;2OE;51A;20/07/99;Cloth;Minsky;1;24/06/70;Mask;Minsky;11B;16/08/70
174;Clip;Minsky;21A;20/08/1970;;-;Carl;Drawer;Minsky;3A;11/08/70;Property Master;Minsky;17A;30/08/70;Poster;Minsky;-;21/07/70;Letter;Minsky;41A;02/08/70
175;Secret;Minsky;21A;20/08/1970;;-;;;;;;;;;;;;;;;;;
176;Clip;Minsky;29C;23/08/1970;;xxx;Carl;Brush;Minsky;-;29/05/70;Makeup Artist;Minsky;17A;30/08/70;Towel;Minsky;-;21/07/70;Shoes;Minsky;29;24/06/70
177;Clip;Minsky;23C;25/08/1970;;xxx;Carl, ashtray, cross, kiss;Background;Minsky;44A;20/07/70;Camera;Minsky;3A;11/08/70;Glass;2OE;39B;18/06/99;2nd AC;Minsky;24A;25/08/70
178;Clip;Minsky;23E;25/08/1970;;-;Short clip of cross;Cross;Ambrosio;3A;05/08/68;Crucifix;Ambrosio;3A;05/08/68;Painting;Minsky;3A;11/08/70;Hands;Minsky;24A;25/08/70
179;Clip;Minsky;24A;25/08/1970;;-;Carl, Olga;Natassia;Minsky;-;31/07/70;Mirror;Minsky;-;28/08/70;2nd AC;Minsky;23C;25/08/70;Lamp;Minsky;32A;26/08/70
180;Secret;Minsky;24A;25/08/1970;;-;;;;;;;;;;;;;;;;;
181;Clip;Minsky;35E;26/08/1970;;-;Carl, gun;Chandelier;2OE;74A;24/09/99;Gun;2OE;27G;01/06/99;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99
182;Clip;Minsky;32A;26/08/1970;;-;Carl, Marissa's portrait;Graffiti;Minsky;43A;19/07/70;Bucket;Minsky;34B;27/08/70;Chandelier;2OE;74A;24/09/99;Pot;2OE;14C;23/04/99
183;Secret;Minsky;32A;26/08/1970;;-;;;;;;;;;;;;;;;;;
184;Clip;Minsky;32D;27/08/1970;;-;Marissa's portrait;Bucket;Minsky;34B;27/08/70;Pot;2OE;14C;23/04/99;2nd AC;Minsky;17A;30/08/70;Bottle;Minsky;34B;27/08/70
185;Clip;Minsky;34B;27/08/1970;;-;Carl, Marissa's portrait;Bucket;Minsky;32A;26/08/70;Jewelry;Minsky;-;23/06/70;Pot;2OE;14C;23/04/99;Bottle;Minsky;32D;27/08/70
186;Clip;Minsky;-;28/08/1970;;-;Short personal clip of Marissa, try using mirror;Mirror;Minsky;24A;25/08/70;Marissa Marcel;2OE;-;25/09/99;-;-;-;-;-;-;-;-
187;Secret;Minsky;-;28/08/1970;;-;;;;;;;;;;;;;;;;;
188;Clip;Minsky;17A;30/08/1970;;-;Carl, gun, blood. What happened to Carl Goodman;Light;Minsky;-;31/07/70;Makeup Artist;Minsky;29C;23/08/70;Property Master;Minsky;5B;30/07/70;Fire;2OE;-;25/09/99
189;Secret1;Minsky;17A;30/08/1970;;-;;;;;;;;;;;;;;;;;
190;Secret2;Minsky;17A;30/08/1970;;-;;;;;;;;;;;;;;;;;
191;Secret3;Minsky;17A;30/08/1970;;-;What happened to Amy Archer;;;;;;;;;;;;;;;;
192;Clip;Minsky;-;17/09/1970;;xxx;Short personal clip of Marissa, need to use her face;Curtain;Ambrosio;52A;19/09/68;Window;Minsky;6;22/06/70;Marissa Marcel;Minsky;-;26/06/70;-;-;-;-
193;Clip;Minsky;-;16/02/1972;;-;Talkshow with John Durick. Useful clip, reveals good info to start with;Jimmy;Minsky;-;15/04/69;City;2OE;51A;20/07/99;Ashtray;Minsky;-;13/08/70;Coffee;Minsky;2B;23/07/70
194;Secret;Minsky;-;16/02/1972;;-;;;;;;;;;;;;;;;;;
195;Clip;2OE;-;07/07/1998;;-;Compositing test. Amy, Naomi, John Durick;Naomi;2OE;13C;15/04/99;Amy Archer;2OE;82;25/03/99;Script;2OE;51D;21/07/99;John Durick;Minsky;-;16/02/72
196;Clip;2OE;-;01/02/1999;;-;Script reading with Amy and John Durick;Watering Can;2OE;55A;29/07/99;Bath;Ambrosio;40E;20/08/68;Pitcher;Minsky;-;21/07/70;Kettle;2OE;14C;23/04/99
197;Secret;2OE;-;01/02/1999;;-;;;;;;;;;;;;;;;;;
198;Clip;2OE;1;01/03/1999;;-;Script reading with Amy, John Durick and Marc;Marc;2OE;8A;13/04/99;Water;2OE;18;02/03/99;Glass;2OE;39B;18/06/99;Assistant Director;2OE;25;02/03/99
199;Secret;2OE;1;01/03/1999;;-;;;;;;;;;;;;;;;;;
200;Clip;2OE;18;02/03/1999;;-;Script reading with Amy, Gary and John Durick;Larry Godwin;2OE;25;02/03/99;Water;2OE;25;02/03/99;Glass;2OE;39B;18/06/99;Phone;2OE;26B;18/05/99
201;Clip;2OE;25;02/03/1999;;-;Script reading with Amy, Gary and John Durick;Larry Godwin;2OE;18;02/03/99;Water;2OE;18;02/03/99;Glass;2OE;39B;18/06/99;Assistant Director;2OE;18;02/03/99
202;Clip;2OE;56;04/03/1999;;-;Script reading with Amy, Gary and John Durick;Larry Godwin;2OE;17C;02/05/99;Water;2OE;18;02/03/99;Glass;2OE;39B;18/06/99;Assistant Director;2OE;51D;21/07/99
203;Clip;2OE;27;15/03/1999;;-;Naomi, cat, gun;Lift;2OE;31;15/03/99;Wallet;2OE;30;15/03/99;Cat;2OE;55A;29/07/99;Photo;2OE;14C;23/04/99
204;Clip;2OE;30;15/03/1999;;-;Marc, kiss;Sunglasses;2OE;58B;06/08/99;Wallet;2OE;27;15/03/99;Marc;2OE;8A;13/04/99;Glasses;Minsky;-;28/05/70
205;Clip;2OE;31;15/03/1999;;-;Naomi, mask;Trolley;2OE;11A;14/04/99;Teapot;2OE;58B;06/08/99;Lift;2OE;27;15/03/99;Shoes;Minsky;29C;23/08/70
206;Clip;2OE;43;18/03/1999;;-;Amy, Terry, microphone, sidecut bodyguard;Bodyguard 1;2OE;51D;21/07/99;Terry Schneider;2OE;45;18/03/99;Ladder;2OE;45;18/03/99;Cocktail;Minsky;-;31/07/70
207;Clip;2OE;45;18/03/1999;;-;Terry, microphone;Bed;2OE;82;25/03/99;Terry Schneider;2OE;43;18/03/99;Ladder;2OE;43;18/03/99;Cocktail;Minsky;-;31/07/70
208;Secret;2OE;45;18/03/1999;;-;;;;;;;;;;;;;;;;;
209;Clip;2OE;61;23/03/1999;;xxx;Flowers;Photo;Minsky;31;26/06/70;Flower;Ambrosio;-;10/02/68;Basket;Ambrosio;3A;05/08/68;Candle;Ambrosio;6B;15/08/68
210;Clip;2OE;72;23/03/1999;;-;Try using papers, crew girl, chairs or Marisa's face;Ladder;2OE;75;25/03/99;Purse;2OE;27;15/03/99;Luggage;2OE;27;15/03/99;Assistant Director;2OE;51D;21/07/99
211;Clip;2OE;75;25/03/1999;;-;Amy, Naomi, Terry;Terry Schneider;2OE;82;25/03/99;Naomi;2OE;13C;15/04/99;Cocktail;Minsky;-;31/07/70;Ladder;2OE;84;29/03/99
212;Secret;2OE;75;25/03/1999;;-;;;;;;;;;;;;;;;;;
213;Clip;2OE;81;25/03/1999;;-;Terry, car, drugs, kiss;Pill;2OE;20C;07/05/99;Car;Minsky;16;11/06/70;Shoes;Minsky;13C;30/07/70;Terry Schneider;2OE;82;25/03/99
214;Clip;2OE;82;25/03/1999;;-;Amy, Terry, microphone, gun;Bed;2OE;45;18/03/99;Terry Schneider;2OE;75;25/03/99;Gun;2OE;27G;01/06/99;Purse;2OE;27;15/03/99
215;Secret;2OE;82;25/03/1999;;-;;;;;;;;;;;;;;;;;
216;Clip;2OE;84;29/03/1999;;-;Amy, red bodyguard, sidecut bodyguard, gun;Bodyguard 2;2OE;51D;21/07/99;Bodyguard 1;2OE;51D;21/07/99;Gun;Minsky;35E;26/08/70;Ladder;2OE;75;25/03/99
217;Secret;2OE;84;29/03/1999;;-;;;;;;;;;;;;;;;;;
218;Clip;2OE;85B;05/04/1999;;-;Microphone;Jewelry;2OE;24C;10/05/99;Microphone;2OE;42B;05/07/99;2nd AC;2OE;74A;24/09/99;Photo;Minsky;31;26/06/70
219;Secret;2OE;85B;05/04/1999;;-;;;;;;;;;;;;;;;;;
220;Clip;2OE;8F;12/04/1999;;-;Snake, water;Swimming Pool;2OE;51D;21/07/99;Snake;Ambrosio;8B;22/08/68;Jewelry;Minsky;40B;05/08/70;Clapperboard;2OE;8A;13/04/99
221;Clip;2OE;8A;13/04/1999;;-;Marc, kiss, skyline;Marc;2OE;30;15/03/99;Swimming Pool;2OE;51D;21/07/99;City;2OE;51A;20/07/99;Painting;Minsky;11B;16/08/70
222;Clip;2OE;11A;14/04/1999;;-;Gary, cross (Marissa's model T-pose);Trolley;2OE;31;15/03/99;Larry Godwin;2OE;12B;14/04/99;Camera;Minsky;3A;11/08/70;Photo;Minsky;31;26/06/70
223;Secret;2OE;11A;14/04/1999;;-;;;;;;;;;;;;;;;;;
224;Clip;2OE;12B;14/04/1999;;-;Gary;Hat;Minsky;38A;06/08/70;Towel;Minsky;29C;23/08/70;Larry Godwin;2OE;11A;14/04/99;Purse;2OE;27;15/03/99
225;Clip;2OE;13C;15/04/1999;;xxx;Naomi;Naomi;2OE;75;25/03/99;Notepad;2OE;58B;06/08/99;Coffee;Minsky;2B;23/07/70;Pencil;Minsky;2B;23/07/70
226;Clip;2OE;14C;23/04/1999;;xxx;Cat, knives;Signature;Minsky;11B;16/08/70;Cat;2OE;55A;29/07/99;Napkin;Minsky;2B;23/07/70;Paper;2OE;26B;18/05/99
227;Clip;2OE;14G;23/04/1999;;-;Cat, apples;Cat;2OE;14C;23/04/99;Photo;2OE;14C;23/04/99;Painting;Minsky;11B;16/08/70;Phone;2OE;26B;18/05/99
228;Clip;2OE;16A;24/04/1999;;xxx;Apples;Couch;2OE;35A;10/06/99;Ring;2OE;14C;23/04/99;Phone;2OE;26B;18/05/99;Purse;2OE;27;15/03/99
229;Clip;2OE;17B;02/05/1999;;xxx;;Naomi;2OE;17C;02/05/99;Bowl;2OE;17C;02/05/99;Painting;Minsky;11B;16/08/70;Ring;2OE;16A;24/04/99
230;Clip;2OE;17C;02/05/1999;;-;Gary, Naomi, apples, mask;Naomi;2OE;17B;02/05/99;Larry Godwin;2OE;63A;30/08/99;Bowl;2OE;17B;02/05/99;Painting;Minsky;11B;16/08/70
231;Clip;2OE;20C;07/05/1999;;-;Drugs, cross;Doll;Ambrosio;55;09/06/68;Pill;2OE;81;25/03/99;Phone;2OE;26B;18/05/99;Bottle;Minsky;17A;30/08/70
232;Clip;2OE;22B;10/05/1999;;-;Talkshow guy;Jay Gilligan;2OE;24C;10/05/99;Microphone;2OE;42B;05/07/99;Plant;2OE;24C;10/05/99;Cup;Minsky;-;13/08/70
233;Clip;2OE;24C;10/05/1999;;xxx;Talkshow guy;Jay Gilligan;2OE;22B;10/05/99;Jewelry;Minsky;-;23/06/70;Plant;2OE;22B;10/05/99;Cup;Minsky;-;13/08/70
234;Clip;2OE;26B;18/05/1999;;-;John Durick;Napkin;Minsky;2B;23/07/70;Paper;2OE;14C;23/04/99;Blood;Minsky;-;21/07/70;Phone;2OE;14C;23/04/99
235;Secret;2OE;26B;18/05/1999;;-;;;;;;;;;;;;;;;;;
236;Clip;2OE;27G;01/06/1999;;-;Short clip of gun;Wallet;2OE;30;15/03/99;Drawer;Minsky;21A;20/08/70;Towel;Minsky;29C;23/08/70;Gun;Minsky;35E;26/08/70
237;Clip;2OE;35A;10/06/1999;;xxx;Amy, curly hair bodyguard, apples, flowers, mask;Chandelier;2OE;74A;24/09/99;Frank;2OE;37A;10/06/99;Dummy;2OE;40A;26/06/99;Couch;2OE;16A;24/04/99
238;Clip;2OE;35D;10/06/1999;;-;Short clip of mask;Cloth;Minsky;1;24/06/70;Mask;Minsky;11B;16/08/70;Clapperboard;2OE;37A;10/06/99;Marissa Marcel;2OE;37A;10/06/99
239;Clip;2OE;37A;10/06/1999;;-;Amy, John Durick, curly hair bodyguard, apples;Dress;2OE;40A;26/06/99;Frank;2OE;35A;10/06/99;Card;2OE;74A;24/09/99;Painting;Minsky;11B;16/08/70
240;Secret;2OE;37A;10/06/1999;;-;;;;;;;;;;;;;;;;;
241;Clip;2OE;37D;10/06/1999;;-;Amy, curly hair bodyguard;Frank;2OE;37A;10/06/99;Amy Archer;2OE;37A;10/06/99;Flower;2OE;35A;10/06/99;Basket;Ambrosio;3A;05/08/68
242;Clip;2OE;37E;10/06/1999;;-;Try using dress or Marissa's face;Dress;2OE;37A;10/06/99;Lamp;2OE;39B;18/06/99;Stool;Minsky;3A;11/08/70;Chair;2OE;37A;10/06/99
243;Clip;2OE;39B;18/06/1999;;-;Amy, curly hair bodyguard;Hessenberg Assistant;2OE;42B;05/07/99;Frank;2OE;40A;26/06/99;Mirror;2OE;40A;26/06/99;Glass;Minsky;23C;25/08/70
244;Secret;2OE;39B;18/06/1999;;-;;;;;;;;;;;;;;;;;
245;Clip;2OE;40A;26/06/1999;;xxx;Amy, curly hair bodyguard, scissors;Dress;2OE;37A;10/06/99;Frank;2OE;39B;18/06/99;Clothes;Minsky;29;24/06/70;Statue;2OE;51A;20/07/99
246;Clip;2OE;40D;26/06/1999;;-;Try using scissors or knives;Ring;2OE;42B;05/07/99;Scissors;Minsky;-;21/07/70;Razor;Minsky;-;21/07/70;2nd AC;2OE;40A;26/06/99
247;Clip;2OE;41C;27/06/1999;;xxx;;2nd AC;2OE;40A;26/06/99;Clapperboard;2OE;40A;26/06/99;Marissa Marcel;2OE;40A;26/06/99;-;-;-;-
248;Clip;2OE;42B;05/07/1999;;xxx;Terry, microphone;Hessenberg Assistant;2OE;39B;18/06/99;Terry Schneider;2OE;45;18/03/99;Ring;2OE;67A;07/09/99;Cocktail;Minsky;-;31/07/70
249;Clip;2OE;51A;20/07/1999;;xxx;Amy, water, skyline;Bodyguard 1;2OE;51D;21/07/99;Dummy;2OE;40A;26/06/99;City;Minsky;-;16/02/72;Feet;2OE;14C;23/04/99
250;Clip;2OE;51D;21/07/1999;;-;Red bodyguard, sidecut bodyguard, water;Bodyguard 2;2OE;84;29/03/99;Swimming Pool;2OE;63A;30/08/99;Bodyguard 1;2OE;51A;20/07/99;Assistant Director;2OE;37A;10/06/99
251;Secret1;2OE;51D;21/07/1999;;-;;;;;;;;;;;;;;;;;
252;Secret2;2OE;51D;21/07/1999;;-;Reverse of reverse;;;;;;;;;;;;;;;;
253;Secret3;2OE;51D;21/07/1999;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
254;Clip;2OE;52B;27/07/1999;;-;Fruit;Lips;2OE;55A;29/07/99;Tear;Ambrosio;2C;20/09/68;Eye;2OE;60F;15/08/99;Blood;Minsky;3A;11/08/70
255;Clip;2OE;55A;29/07/1999;;xxx;John Durick, cat, apples;Embrace;2OE;39B;18/06/99;TV;Minsky;-;23/06/70;Lips;2OE;52B;27/07/99;ID;2OE;69B;08/09/99
256;Clip;2OE;58B;06/08/1999;;-;Try using sunglasses or Marissa's face;Plate;Ambrosio;48;08/06/68;Tray;Ambrosio;49B;18/09/68;Notepad;2OE;13C;15/04/99;Purse;2OE;27;15/03/99
257;Clip;2OE;59A;14/08/1999;;xxx;;Ring;2OE;60F;15/08/99;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99;Ladder;2OE;84;29/03/99
258;Clip;2OE;60F;15/08/1999;;xxx;;Lips;2OE;55A;29/07/99;Tear;Ambrosio;2C;20/09/68;Eye;2OE;52B;27/07/99;Ring;2OE;59A;14/08/99
259;Clip;2OE;63A;30/08/1999;;xxx;Gary, water;Swimming Pool;2OE;51D;21/07/99;Fire;2OE;-;25/09/99;Larry Godwin;2OE;17C;02/05/99;Lighter;Minsky;41A;02/08/70
260;Clip;2OE;67A;07/09/1999;;-;Try using lantern, mirror or Marissa's face;Lantern;Ambrosio;54;09/06/68;Pillow;2OE;73A;16/09/99;Ring;2OE;69B;08/09/99;Watch;2OE;17C;02/05/99
261;Secret1;2OE;67A;07/09/1999;;-;;;;;;;;;;;;;;;;;
262;Secret2;2OE;67A;07/09/1999;;-;Reverse of reverse;;;;;;;;;;;;;;;;
263;Secret3;2OE;67A;07/09/1999;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
264;Clip;2OE;69B;08/09/1999;;xxx;;ID;2OE;55A;29/07/99;Boarding Pass;2OE;30;15/03/99;Card;2OE;74A;24/09/99;Pillar;Ambrosio;24D;17/10/68
265;Clip;2OE;73A;16/09/1999;;xxx;;Bag;2OE;27;15/03/99;Basket;2OE;55A;29/07/99;Pillow;2OE;67A;07/09/99;Phone;2OE;26B;18/05/99
266;Clip;2OE;74E;24/09/1999;;-;Short clip of Martini;Ring;2OE;67A;07/09/99;Glass;2OE;39B;18/06/99;Watch;2OE;17C;02/05/99;Clock;2OE;17C;02/05/99
267;Clip;2OE;74A;24/09/1999;;-;Amy, blood;Chandelier;2OE;35A;10/06/99;Card;Ambrosio;34C;13/08/68;Cocktail;Minsky;-;31/07/70;Blood;Minsky;-;21/07/70
268;Secret;2OE;74A;24/09/1999;;-;;;;;;;;;;;;;;;;;
269;Clip;2OE;-;25/09/1999;;-;What happened to Marissa Marcel;Fire;Minsky;17A;30/08/70;Lighter;Minsky;41A;02/08/70;Amy Archer;2OE;74A;24/09/99;Cigarette;Minsky;21A;20/08/70
270;Secret1;2OE;-;25/09/1999;;-;;;;;;;;;;;;;;;;;
271;Secret2;2OE;-;25/09/1999;;-;Reverse of reverse;;;;;;;;;;;;;;;;
272;Secret3;2OE;-;25/09/1999;;-;Reverse of reverse of reverse!;;;;;;;;;;;;;;;;
273;Secret;Ambrosio;-;-;;-;"""We tried to elevate humanity""";;;;;;;;;;;;;;;;
274;Secret;Ambrosio;-;-;;-;"""The Great War""";;;;;;;;;;;;;;;;
275;Secret;Ambrosio;-;-;;-;"""Man has mastered the surface of the planet""";;;;;;;;;;;;;;;;
276;Secret;Ambrosio;-;-;;-;"""When I woke the last time""";;;;;;;;;;;;;;;;
277;Secret;Ambrosio;-;-;;-;"""I found the 20th Century overwhelming""";;;;;;;;;;;;;;;;
278;Secret;Ambrosio;-;-;;-;"""I watched Robert and Sofia""";;;;;;;;;;;;;;;;
279;Secret;Ambrosio;-;-;;-;"""There's a chain""";;;;;;;;;;;;;;;;
280;Secret;Minsky;-;-;;-;"""Minsky""";;;;;;;;;;;;;;;;
281;Secret;Minsky;-;-;;-;"""The Other One came back in New York""";;;;;;;;;;;;;;;;
282;Secret;Minsky;-;-;;-;"""After I killed The Other One""";;;;;;;;;;;;;;;;
283;Secret;2OE;-;-;;-;"""I made some movies""";;;;;;;;;;;;;;;;
284;Secret;2OE;-;-;;-;"""Part of being human was Amy""";;;;;;;;;;;;;;;;
285;Secret;2OE;-;-;;-;"""Arthur Fischer was dying""";;;;;;;;;;;;;;;;
286;Secret;2OE;-;-;;-;"""I wanted Two Of Everything""";;;;;;;;;;;;;;;;
287;Secret;2OE;-;-;;-;"""What happened to The Other One was new""";;;;;;;;;;;;;;;;
288;Secret;-;-;-;;-;Ending starts (face shown through clips slots);;;;;;;;;;;;;;;;
289;Secret;-;-;-;;-;Ending;;;;;;;;;;;;;;;;
